"Zaragoza Aeropuerto"
Actualizado: martes, 27 octubre 2020 a las 10:22 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"27/10/2020 10:00","9.7","4","Sudeste","7","Sudeste","0.0","988.9","0.7","78.0"
"27/10/2020 09:00","7.0","3","Este","14","Noroeste","0.0","988.9","0.8","85.0"
"27/10/2020 08:00","5.6","3","Nordeste","9","Sudeste","0.0","988.5","0.3","88.0"
"27/10/2020 07:00","7.3","5","Norte","13","Noroeste","0.0","988.2","0.0","79.0"
"27/10/2020 06:00","6.1","6","Noroeste","12","Noroeste","0.0","988.1","-0.5","86.0"
"27/10/2020 05:00","5.7","6","Norte","11","Norte","0.0","988.2","-0.3","90.0"
"27/10/2020 04:00","6.0","5","Nordeste","11","Nordeste","0.0","988.2","-0.5","89.0"
"27/10/2020 03:00","7.5","6","Noroeste","10","Norte","0.0","988.6","-0.2","84.0"
"27/10/2020 02:00","7.2","2","Oeste","6","Sudoeste","0.0","988.5","-0.3","86.0"
"27/10/2020 01:00","7.4","2","Nordeste","6","Nordeste","0.0","988.7","-0.1","87.0"
"27/10/2020 00:00","8.5","2","Norte","5","Sudoeste","0.0","988.8","0.2","78.0"
"26/10/2020 23:00","9.2","4","Oeste","12","Sudoeste","0.0","988.8","0.4","76.0"
"26/10/2020 22:00","10.0","4","Oeste","20","Oeste","0.0","988.8","1.2","75.0"
"26/10/2020 21:00","10.9","13","Oeste","21","Oeste","0.0","988.6","2.1","73.0"
"26/10/2020 20:00","11.8","18","Oeste","23","Oeste","0.0","988.4","2.4","67.0"
"26/10/2020 19:00","12.9","12","Oeste","15","Oeste","0.0","987.6","2.1","60.0"
"26/10/2020 18:00","14.5","9","Noroeste","38","Noroeste","0.0","986.5","1.0","49.0"
"26/10/2020 17:00","15.8","23","Noroeste","40","Noroeste","0.0","986.0","0.5","44.0"
"26/10/2020 16:00","15.5","21","Noroeste","43","Noroeste","0.0","985.5","-0.4","43.0"
"26/10/2020 15:00","16.2","27","Noroeste","47","Noroeste","0.0","985.5","-0.8","40.0"
"26/10/2020 14:00","15.9","32","Noroeste","45","Noroeste","0.0","985.5","-0.7","42.0"
"26/10/2020 13:00","14.9","27","Noroeste","47","Noroeste","0.0","985.9","0.1","47.0"
"26/10/2020 12:00","13.8","26","Noroeste","36","Noroeste","0.0","986.3","0.9","54.0"
"26/10/2020 11:00","12.2","19","Noroeste","31","Noroeste","0.0","986.2","","66.0"
