"Quinto"
Actualizado: martes, 27 octubre 2020 a las 10:22 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"27/10/2020 10:00","","","","","","","","",""
"27/10/2020 09:00","5.8","4","Este","8","Este","0.0","","","89.0"
"27/10/2020 08:00","3.7","3","Sudeste","7","Este","0.0","","","90.0"
"27/10/2020 07:00","3.7","3","Sudeste","10","Este","0.0","","","89.0"
"27/10/2020 06:00","3.2","2","Sudoeste","6","Noroeste","0.0","","","88.0"
"27/10/2020 05:00","3.5","0","Calma","5","Sudeste","0.0","","","87.0"
"27/10/2020 04:00","4.2","4","Este","6","Este","0.0","","","87.0"
"27/10/2020 03:00","4.4","4","Este","9","Sudoeste","0.0","","","87.0"
"27/10/2020 02:00","4.8","3","Sudeste","9","Este","0.0","","","84.0"
"27/10/2020 01:00","5.6","0","Calma","9","Sudoeste","0.0","","","78.0"
"27/10/2020 00:00","7.5","4","Sudoeste","10","Oeste","0.0","","","74.0"
"26/10/2020 23:00","8.3","6","Oeste","12","Oeste","0.0","","","73.0"
"26/10/2020 22:00","9.3","3","Oeste","19","Oeste","0.0","","","71.0"
"26/10/2020 21:00","12.2","11","Oeste","20","Oeste","0.0","","","61.0"
"26/10/2020 20:00","12.2","13","Oeste","22","Oeste","0.0","","","59.0"
"26/10/2020 19:00","13.3","14","Oeste","27","Oeste","0.0","","","54.0"
"26/10/2020 18:00","14.7","12","Noroeste","32","Noroeste","0.0","","","51.0"
"26/10/2020 17:00","16.2","19","Noroeste","42","Noroeste","0.0","","","43.0"
"26/10/2020 16:00","16.6","28","Noroeste","50","Oeste","0.0","","","41.0"
"26/10/2020 15:00","16.9","25","Noroeste","57","Oeste","0.0","","","42.0"
"26/10/2020 14:00","16.1","34","Oeste","58","Noroeste","0.0","","","42.0"
"26/10/2020 13:00","15.4","30","Oeste","49","Oeste","0.0","","","47.0"
"26/10/2020 12:00","14.1","30","Noroeste","55","Oeste","0.2","","","51.0"
"26/10/2020 11:00","13.3","15","Noroeste","39","Oeste","0.0","","","64.0"
