"Zaragoza Aeropuerto"
Actualizado: lunes, 26 octubre 2020 a las 12:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"26/10/2020 12:00","13.8","26","Noroeste","36","Noroeste","0.0","986.3","0.9","54.0"
"26/10/2020 11:00","12.2","19","Noroeste","31","Noroeste","0.0","986.2","1.9","66.0"
"26/10/2020 10:00","10.6","27","Noroeste","32","Noroeste","0.0","985.8","2.7","71.0"
"26/10/2020 09:00","9.5","20","Noroeste","31","Oeste","0.0","985.4","2.7","79.0"
"26/10/2020 08:00","8.9","18","Oeste","24","Noroeste","0.0","984.3","2.0","82.0"
"26/10/2020 07:00","9.2","12","Noroeste","15","Noroeste","0.0","983.1","1.0","80.0"
"26/10/2020 06:00","9.8","12","Noroeste","23","Noroeste","0.0","982.7","0.8","77.0"
"26/10/2020 05:00","10.3","20","Noroeste","29","Oeste","0.0","982.3","0.5","73.0"
"26/10/2020 04:00","10.4","18","Oeste","28","Noroeste","0.0","982.1","0.8","82.0"
"26/10/2020 03:00","11.1","15","Noroeste","27","Noroeste","0.0","981.9","0.5","77.0"
"26/10/2020 02:00","11.5","21","Noroeste","30","Noroeste","0.0","981.8","0.6","84.0"
"26/10/2020 01:00","12.7","23","Noroeste","35","Noroeste","0.0","981.3","1.2","81.0"
"26/10/2020 00:00","12.9","9","Noroeste","31","Oeste","0.8","981.4","2.0","86.0"
"25/10/2020 23:00","13.0","20","Sudoeste","27","Sudoeste","2.2","981.2","1.4","83.0"
"25/10/2020 22:00","14.9","18","Oeste","37","Oeste","0.8","980.1","0.2","82.0"
"25/10/2020 21:00","17.2","19","Oeste","32","Oeste","0.0","979.4","-0.5","69.0"
"25/10/2020 20:00","19.0","13","Noroeste","18","Noroeste","0.0","979.8","-0.5","53.0"
"25/10/2020 19:00","19.6","9","Oeste","18","Oeste","0.0","979.9","-1.2","50.0"
"25/10/2020 18:00","20.1","4","Sur","23","Oeste","0.0","979.9","-2.0","47.0"
"25/10/2020 17:00","20.0","10","Oeste","30","Oeste","0.0","980.3","-2.2","47.0"
"25/10/2020 16:00","20.1","18","Sudoeste","30","Sudoeste","0.0","981.1","-2.5","44.0"
"25/10/2020 15:00","20.0","28","Oeste","42","Oeste","0.0","981.9","-2.9","44.0"
"25/10/2020 14:00","19.9","16","Oeste","45","Oeste","0.0","982.5","-2.4","45.0"
"25/10/2020 13:00","19.8","19","Sudoeste","31","Oeste","0.0","983.6","","45.0"
