"Zaragoza, Valdespartera"
Actualizado: martes, 27 octubre 2020 a las 10:22 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"27/10/2020 10:00","12.6","5","Norte","24","Sudoeste","0.0","988.2","0.8","58.0"
"27/10/2020 09:00","10.1","9","Sudoeste","17","Sudoeste","0.0","988.1","0.5","66.0"
"27/10/2020 08:00","6.7","3","Sudeste","5","Sudeste","0.0","987.9","0.5","80.0"
"27/10/2020 07:00","6.3","2","Sudeste","5","Sudeste","0.0","987.4","-0.2","81.0"
"27/10/2020 06:00","6.6","0","Calma","9","Nordeste","0.0","987.6","-0.1","79.0"
"27/10/2020 05:00","8.7","4","Norte","18","Oeste","0.0","987.4","-0.4","69.0"
"27/10/2020 04:00","9.1","3","Noroeste","15","Oeste","0.0","987.6","-0.5","68.0"
"27/10/2020 03:00","8.8","7","Oeste","13","Oeste","0.0","987.7","-0.4","70.0"
"27/10/2020 02:00","7.7","3","Noroeste","8","Oeste","0.0","987.8","-0.4","75.0"
"27/10/2020 01:00","8.3","2","Oeste","16","Este","0.0","988.1","0.0","72.0"
"27/10/2020 00:00","8.7","5","Sur","10","Sur","0.0","988.1","0.3","69.0"
"26/10/2020 23:00","8.8","6","Sur","9","Sur","0.0","988.2","0.6","73.0"
"26/10/2020 22:00","10.4","2","Norte","11","Oeste","0.0","988.1","1.3","67.0"
"26/10/2020 21:00","11.4","6","Oeste","21","Oeste","0.0","987.8","2.1","63.0"
"26/10/2020 20:00","11.2","3","Oeste","14","Noroeste","0.0","987.6","2.3","63.0"
"26/10/2020 19:00","13.0","10","Noroeste","24","Norte","0.0","986.8","2.1","54.0"
"26/10/2020 18:00","14.5","12","Noroeste","41","Noroeste","0.0","985.7","1.0","45.0"
"26/10/2020 17:00","16.1","18","Noroeste","49","Noroeste","0.0","985.3","0.7","39.0"
"26/10/2020 16:00","16.3","26","Noroeste","57","Norte","0.0","984.7","-0.6","35.0"
"26/10/2020 15:00","16.7","22","Noroeste","52","Noroeste","0.0","984.7","-1.1","35.0"
"26/10/2020 14:00","15.8","26","Noroeste","59","Noroeste","0.0","984.6","-0.6","38.0"
"26/10/2020 13:00","14.8","24","Noroeste","46","Noroeste","0.0","985.3","0.2","43.0"
"26/10/2020 12:00","13.5","16","Noroeste","33","Noroeste","0.0","985.8","1.4","54.0"
"26/10/2020 11:00","12.6","13","Noroeste","29","Noroeste","0.0","985.2","","59.0"
