"Zaragoza Aeropuerto"
Actualizado: martes, 20 octubre 2020 a las 15:22 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"20/10/2020 15:00","18.8","18","Sudeste","32","Sudeste","0.0","983.0","-2.1","79.0"
"20/10/2020 14:00","17.4","19","Sudeste","32","Sudeste","0.2","984.4","-0.2","84.0"
"20/10/2020 13:00","16.7","17","Sudeste","26","Sudeste","0.4","985.0","0.2","88.0"
"20/10/2020 12:00","16.6","19","Sudeste","32","Sudeste","0.2","985.1","0.7","86.0"
"20/10/2020 11:00","17.0","24","Sudeste","38","Este","0.0","984.6","0.3","80.0"
"20/10/2020 10:00","16.6","21","Sudeste","28","Sudeste","0.0","984.8","0.6","80.0"
"20/10/2020 09:00","15.9","23","Sudeste","31","Sudeste","0.0","984.4","-0.2","82.0"
"20/10/2020 08:00","15.6","18","Sudeste","33","Sudeste","0.0","984.3","-0.5","82.0"
"20/10/2020 07:00","15.7","19","Sudeste","31","Sudeste","0.0","984.2","-0.5","81.0"
"20/10/2020 06:00","15.6","17","Sudeste","39","Sudeste","0.0","984.6","-1.6","81.0"
"20/10/2020 05:00","15.7","19","Sudeste","39","Sudeste","0.0","984.8","-2.3","79.0"
"20/10/2020 04:00","15.5","26","Sudeste","38","Sudeste","0.0","984.7","-2.1","79.0"
"20/10/2020 03:00","15.4","20","Sudeste","35","Sudeste","0.0","986.2","-0.5","79.0"
"20/10/2020 02:00","15.3","11","Sudeste","22","Sudeste","0.0","987.1","0.4","80.0"
"20/10/2020 01:00","15.5","14","Este","23","Este","0.0","986.8","0.2","80.0"
"20/10/2020 00:00","15.6","14","Este","23","Sudeste","0.0","986.7","0.2","78.0"
"19/10/2020 23:00","16.1","13","Este","31","Sudeste","0.0","986.7","0.6","72.0"
"19/10/2020 22:00","17.0","17","Sudeste","36","Sudeste","0.0","986.6","0.9","65.0"
"19/10/2020 21:00","18.3","23","Sudeste","40","Sudeste","0.0","986.5","0.7","59.0"
"19/10/2020 20:00","19.7","23","Sudeste","39","Sudeste","0.0","986.1","-0.2","56.0"
"19/10/2020 19:00","21.1","21","Sudeste","36","Sudeste","0.0","985.7","-1.2","53.0"
"19/10/2020 18:00","23.0","24","Sudeste","37","Sudeste","0.0","985.8","-2.1","45.0"
"19/10/2020 17:00","23.4","24","Sudeste","37","Este","0.0","986.3","-2.5","44.0"
"19/10/2020 16:00","22.5","26","Sudeste","36","Sudeste","0.0","986.9","","44.0"
